rank	arabic_lemma	transliteration	english_core_gloss	part_of_speech	canonical_form_rule_used	root_if_relevant	estimated_frequency_tier	dispersion_score	usefulness_score	register_label	keep_reason	merged_forms_or_variants	notes
32	أَكَّد	>ak~ad	Confirm	verb	verb: 3ms past lemma		T1	0.333	12.167	media	high_frequency + dispersion	أؤكد; أكد; أكدا; أكدت; أكدته ...	
33	بَيِّن	bay~in	Ben.	noun	noun: singular lemma		T1	0.333	12.155	media	high_frequency + dispersion	أبين; البين; بين; بينا; بينة ...	
34	أَعْلَن	>aEolan	I know.	verb	verb: 3ms past lemma	علن	T1	0.333	12.11	media	high_frequency + dispersion	أعلن; أعلنا; أعلنت; أعلنته; أعلنتها ...	
35	أَضاف	>aDAf	Add	verb	verb: 3ms past lemma		T1	0.333	12.086	media	high_frequency + dispersion	أضاف; أضافة; أضافت; أضفنا; أضيف ...	
36	قام	qAm	It's...	verb	verb: 3ms past lemma		T1	0.333	12.075	media	high_frequency + dispersion	أقوم; اقوم; تقم; تقوم; ستقوم ...	
37	بَدَأ	bada>	Started.	verb	verb: 3ms past lemma		T1	0.333	12.069	media	high_frequency + dispersion	أبد; أبدأ; أبدا; أبداً; أبدًا ...	
38	لَيِس	layis	It's not.	verb	verb: 3ms past lemma		T1	0.333	11.993	media	high_frequency + dispersion	أليس; أليست; إليسا; اليس; اليسا ...	
39	لَو	law	If only...	conj	particle/base		T1	0.333	11.992	media	high_frequency + dispersion	فلو; لو; ولو	
40	ذَكَر	*akar	A reminder.	verb	verb: 3ms past lemma	ذكر	T1	0.333	11.987	media	high_frequency + dispersion	أذكر; اذكر; الذكر; الذكور; بالذكر ...	
41	هُوَ	huwa	Him.	pron	particle/base		T1	0.333	11.986	media	high_frequency + dispersion	فهو; لهو; هو; هُوَ; وهو ...	
42	بُعْد	buEod	Then...	noun	noun: singular lemma	بعد	T1	0.333	11.974	media	high_frequency + dispersion	أبعاد; أبعادها; الأبعاد; الابعاد; البعد ...	
43	يَوْم	yawom	Hmm.	noun	noun: singular lemma		T1	0.333	11.968	media	high_frequency + dispersion	أيام; أياما; أيامنا; أيامه; أيامها ...	
44	كُلّ	kul~	All	noun	noun: singular lemma	كلل	T1	0.333	11.932	media	high_frequency + dispersion	الكل; بكل; بكلّ; فالكل; فكل ...	
45	لَم	lam	I didn't...	part_neg	particle/base		T1	0.333	11.923	media	high_frequency + dispersion	فلم; لم; ولم	
46	دَوْلَة	dawolap	Role	noun	noun: singular lemma		T1	0.333	11.912	media	high_frequency + dispersion	الدول; الدولة; الدولتان; الدولتين; الدوله ...	
47	أَشار	>a$Ar	Signal.	verb	verb: 3ms past lemma		T1	0.333	11.866	media	high_frequency + dispersion	أشار; أشارت; أشارك; أشاروا; أشرت ...	
48	أَمْكَن	>amokan	Can I...	verb	verb: 3ms past lemma	مكن	T1	0.333	11.85	media	high_frequency + dispersion	أمكن; امكن; فيمكن; ويمكن; ويمكننا ...	
49	أَم	>am	Um...	conj	particle/base		T1	0.333	11.824	media	high_frequency + dispersion	أم; أمك; أمه; أمها; أمهات ...	
50	عَمَل	Eamal	Work.	noun	noun: singular lemma	عمل	T1	0.333	11.78	media	high_frequency + dispersion	أعمال; أعمالا; أعمالاً; أعماله; أعمالها ...	
51	قُوَّة	quw~ap	Power.	noun	noun: singular lemma		T1	0.333	11.758	media	high_frequency + dispersion	القوات; القوة; القوتين; القوى; القوي ...	
52	وَزِير	waziyr	A visitor.	noun	noun: singular lemma		T1	0.333	11.684	media	high_frequency + dispersion	الوزراء; الوزير; الوزيران; الوزيرة; الوزيرين ...	
53	إِذ	<i*	So...	conj	particle/base		T1	0.333	11.665	media	high_frequency + dispersion	إذ; اذ; وإذ; واذ	
54	ٱِعْتَبَر	{iEotabar	Consider it.	verb	verb: 3ms past lemma	عبر	T1	0.333	11.609	media	high_frequency + dispersion	أعتبر; إعتبر; اعتبر; اعتبرت; اعتبرته ...	
55	عاد	EAd	He's back.	verb	verb: 3ms past lemma		T1	0.333	11.606	media	high_frequency + dispersion	أعود; اعود; تعد; تعدّ; تعود ...	
56	حُكُومَة	Hukuwmap	Government	noun	noun: singular lemma	حكم	T1	0.333	11.602	media	high_frequency + dispersion	الحكومات; الحكومة; الحكومتين; الحكومه; بالحكومة ...	
57	كَي	kay	K...	conj	particle/base		T1	0.333	11.561	media	high_frequency + dispersion	كى; كي; كيه; لكى; لكي ...	
58	غَيْر	gayor	Unless...	noun	noun: singular lemma		T1	0.333	11.559	media	high_frequency + dispersion	الغير; بغير; بغيره; بغيرها; تغير ...	
59	هِيَ	hiya	Hey.	pron	particle/base		T1	0.333	11.551	media	high_frequency + dispersion	فهى; فهي; هى; هي; وهى ...	
60	اللَّه	All~ah	God.	noun_prop	noun: singular lemma		T1	0.333	11.52	media	high_frequency + dispersion	الله; اللَّهَ; اللَّهُ; اللَّهِ; بالله ...	
61	وَجَد	wajad	Found	verb	verb: 3ms past lemma		T1	0.333	11.502	media	high_frequency + dispersion	أجد; اجد; تجد; تجده; تجدها ...	
62	قَتَل	qatal	Killed.	verb	verb: 3ms past lemma	قتل	T1	0.333	11.496	media	high_frequency + dispersion	القتل; بالقتل; بقتل; بقتله; تقتل ...	
63	أَراد	>arAd	He wanted...	verb	verb: 3ms past lemma		T1	0.333	11.48	media	high_frequency + dispersion	أراد; أرادت; أراده; أرادها; أرادوا ...	
64	أَيّ	>ay~	What?	pron_interrog	particle/base		T1	0.333	11.477	media	high_frequency + dispersion	آي; أى; أي; أيا; أياً ...	
65	قَدَّم	qad~am	Go ahead.	verb	verb: 3ms past lemma	قدم	T1	0.333	11.471	media	high_frequency + dispersion	أقدام; الأقدام; الاقدام; القدم; تقدمه ...	
66	طالَب	TAlab	Taleb	verb	verb: 3ms past lemma	طلب	T1	0.333	11.469	media	high_frequency + dispersion	أطالب; الطالب; الطالبات; الطالبان; الطالبة ...	
67	قِبَل	qibal	Before.	noun	noun: singular lemma	قبل	T1	0.333	11.455	media	high_frequency + dispersion	أقبل; تقبل; ستقبل; فقبل; قبل ...	
68	مِنْطَقَة	minoTaqap	Ah; speaking of which...	noun	noun: singular lemma	نطق	T1	0.333	11.444	media	high_frequency + dispersion	المناطق; المنطقة; المنطقتين; المنطقه; بالمناطق ...	
69	بَلَد	balad	A country.	noun	noun: singular lemma	بلد	T1	0.333	11.443	media	high_frequency + dispersion	البلاد; البلد; البلدان; البلدين; بالبلاد ...	
70	أَصْبَح	>aSobaH	I'm... I'm... I'm...	verb	verb: 3ms past lemma	صبح	T1	0.333	11.434	media	high_frequency + dispersion	أصبح; أصبحت; أصبحنا; أصبحوا; اصبح ...	
71	حِزْب	Hizob	Party	noun	noun: singular lemma	حزب	T1	0.333	11.421	media	high_frequency + dispersion	أحزاب; احزاب; الأحزاب; الاحزاب; الحزب ...	
72	وَصَل	waSal	Got it.	verb	verb: 3ms past lemma		T1	0.333	11.421	media	high_frequency + dispersion	أصله; أوصال; أوصل; الوصل; تصل ...	
73	أَمْرِيكِيّ	>amoriykiy~	American.	adj	adj: masc singular lemma	مرك	T1	0.333	11.398	media	high_frequency + dispersion	أمريكي; أمريكيا; أمريكياً; أمريكية; أمريكيون ...	
74	عِراق	EirAq	Iraq	noun_prop	noun: singular lemma	عرق	T1	0.333	11.384	media	high_frequency + dispersion	العراق; بالعراق; عراق; فالعراق; لعراق ...	
75	زال	zAl	It's gone.	verb	verb: 3ms past lemma		T1	0.333	11.365	media	high_frequency + dispersion	أزال; تزال; تزل; تزول; زال ...	
76	حَدَث	Hadav	It happened.	verb	verb: 3ms past lemma	حدث	T1	0.333	11.362	media	high_frequency + dispersion	أحداث; أحداثه; أحداثها; أحدثه; احداث ...	
77	جاء	jA'	He came.	verb	verb: 3ms past lemma		T1	0.333	11.335	media	high_frequency + dispersion	جئت; جئنا; جاء; جاءت; جاءوا ...	
78	مَجْلِس	majolis	Sitting.	noun	noun: singular lemma	جلس	T1	0.333	11.318	media	high_frequency + dispersion	المجالس; المجلس; المجلسين; بالمجلس; بمجلس ...	
79	طَلَب	Talab	Request	verb	verb: 3ms past lemma	طلب	T1	0.333	11.316	media	high_frequency + dispersion	أطلب; اطلب; الطلب; الطلبات; بالطلب ...	
80	جَرَى	jaraY	Run!	verb	verb: 3ms past lemma		T1	0.333	11.312	media	high_frequency + dispersion	أجر; الجري; تجري; جرت; جرى ...	
81	رَفَض	rafaD	Rejected	verb	verb: 3ms past lemma	رفض	T1	0.333	11.31	media	high_frequency + dispersion	أرفض; الرفض; بالرفض; برفض; ترفض ...	
82	دَعا	daEA	Let's go.	verb	verb: 3ms past lemma		T1	0.333	11.298	media	high_frequency + dispersion	أدعو; ادعو; تدعو; تدعى; دعا ...	
83	أَحَد	>aHad	One.	noun	noun: singular lemma		T1	0.333	11.293	media	high_frequency + dispersion	أحد; أحدا; أحداً; أحدكم; أحدنا ...	
84	وَجَب	wajab	He must.	verb	verb: 3ms past lemma		T1	0.333	11.239	media	high_frequency + dispersion	تجب; فيجب; ويجب; يجب	
85	عَمَلِيَّة	Eamaliy~ap	Working	noun	noun: singular lemma	عمل	T1	0.333	11.213	media	high_frequency + dispersion	العمليات; العملية; بالعمليات; بالعملية; بعمليات ...	
86	مِثْل	mivol	Like...	noun	noun: singular lemma	مثل	T1	0.333	11.201	media	high_frequency + dispersion	أمثال; أمثلة; المثل; امثال; بالمثل ...	
87	وِلايَة	wilAyap	Ah; yes.	noun	noun: singular lemma		T1	0.333	11.198	media	high_frequency + dispersion	الولايات; الولاية; الولايتين; بالولايات; بالولاية ...	
88	عَرَف	Earaf	He knew.	verb	verb: 3ms past lemma	عرف	T1	0.333	11.187	media	high_frequency + dispersion	أعرف; أعرفه; اعرف; اعرفه; الأعراف ...	
89	وَضْع	waDoE	Put...	noun	noun: singular lemma		T1	0.333	11.169	media	high_frequency + dispersion	أضع; أوضاع; أوضاعها; أوضاعهم; الأوضاع ...	
90	وَرَى	waraY	See?	verb	verb: 3ms past lemma		T1	0.333	11.154	media	high_frequency + dispersion	أرى; ارى; ترى; تري; فيرى ...	
91	وَقَع	waqaE	Sign.	verb	verb: 3ms past lemma		T1	0.333	11.15	media	high_frequency + dispersion	تقع; ستوقع; سيقع; سيوقع; نقع ...	
92	أَمْر	>amor	I'm going through.	noun	noun: singular lemma		T1	0.333	11.135	media	high_frequency + dispersion	آمر; أمر; أمرا; أمران; أمراً ...	
93	عَدَد	Eadad	Come back.	noun	noun: singular lemma	عدد	T1	0.333	11.132	media	high_frequency + dispersion	أعداد; أعدادا; أعدادهم; إعداده; اعدادا ...	
94	شَكْل	$akol	Shake it up.	noun	noun: singular lemma	شكل	T1	0.333	11.118	media	high_frequency + dispersion	أشكال; أشكاله; أشكالها; إشكال; اشكال ...	
95	عالَم	EAlam	World	noun	noun: singular lemma	علم	T1	0.333	11.117	media	high_frequency + dispersion	العالم; العالمين; العلماء; العوالم; بالعالم ...	
96	نَفْس	nafos	Breathe.	noun	noun: singular lemma	نفس	T1	0.333	11.112	media	high_frequency + dispersion	أنفاسه; أنفسكم; أنفسنا; أنفسهم; أنفسهن ...	
97	عِنْد	Einod	At...	noun	noun: singular lemma	عند	T1	0.333	11.086	media	high_frequency + dispersion	عند; عندك; عندكم; عندما; عندنا ...	
98	عَضّ	EaD~	Bite.	noun	noun: singular lemma	عضض	T1	0.333	11.083	media	high_frequency + dispersion	بعض; بعضنا; بعضه; بعضها; بعضهم ...	
99	أَوْضَح	>awoDaH	Explain.	verb	verb: 3ms past lemma		T1	0.333	11.078	media	high_frequency + dispersion	أوضح; أوضحت; اوضح; اوضحت; وأوضح ...	
100	إِسْرائِيل	<isorA}iyl	Israel	noun_prop	noun: singular lemma		T1	0.333	11.076	media	high_frequency + dispersion	أسرائيل; إسرائيل; اسرائيل; بإسرائيل; باسرائيل ...	
101	هُناكَ	hunAka	There.	adv	particle/base		T1	0.333	11.075	media	high_frequency + dispersion	فهناك; هناك; هنالك; وهناك; وهنالك	
102	عَرَض	EaraD	Offered	verb	verb: 3ms past lemma	عرض	T1	0.333	11.07	media	high_frequency + dispersion	أعراض; اعراض; الأعراض; العرض; العروض ...	
103	أَدَّى	>ad~aY	Eddie.	verb	verb: 3ms past lemma		T1	0.333	11.066	media	high_frequency + dispersion	أدى; أدين; أدّى; ادت; ادى ...	
104	أَتَى	>ataY	He came.	verb	verb: 3ms past lemma		T1	0.333	11.064	media	high_frequency + dispersion	آت; آتية; أتت; أتوا; أتون ...	
105	أَمْن	>amon	Clear.	noun	noun: singular lemma		T1	0.333	11.053	media	high_frequency + dispersion	آمن; آمنا; آمناً; آمنة; آمنوا ...	
106	شَهِد	$ahid	Witness.	verb	verb: 3ms past lemma	شهد	T1	0.333	11.049	media	high_frequency + dispersion	تشهد; تشهده; تشهدها; ستشهد; سنشهد ...	
107	تَقَدَّم	taqad~am	Go ahead.	verb	verb: 3ms past lemma	قدم	T1	0.333	11.013	media	high_frequency + dispersion	أتقدم; التقدم; بالتقدم; بتقدم; تتقدم ...	
108	سَبَب	sabab	Caused.	noun	noun: singular lemma	سبب	T1	0.333	11.013	media	high_frequency + dispersion	أسباب; أسبابا; أسبابه; أسبابها; اسباب ...	
109	حَوْل	Hawol	Over.	noun	noun: singular lemma		T1	0.333	11.003	media	high_frequency + dispersion	حول; حولت; حولك; حولنا; حوله ...	
110	حَقّ	Haq~	Right.	noun	noun: singular lemma	حقق	T1	0.333	11.003	media	high_frequency + dispersion	أحق; الحق; الحقوق; بالحق; بالحقوق ...	
111	عَرَبِيّ	Earabiy~	My God.	adj	adj: masc singular lemma	عرب	T1	0.333	10.993	media	high_frequency + dispersion	العربى; العربي; العربيات; العربية; العربيه ...	
112	بَلَغ	balag	Blew.	verb	verb: 3ms past lemma	بلغ	T1	0.333	10.992	media	high_frequency + dispersion	بلغ; بلغت; بلغته; بلغه; بلغوا ...	
113	وَقْت	waqot	Time.	noun	noun: singular lemma		T1	0.333	10.991	media	high_frequency + dispersion	أوقات; الأوقات; الاوقات; الوقت; اوقات ...	
114	مَدِينَة	madiynap	A city.	noun	noun: singular lemma	مدن	T1	0.333	10.986	media	high_frequency + dispersion	المدن; المدينة; المدينتين; بالمدن; بالمدينة ...	
115	حَمَل	Hamal	Load	verb	verb: 3ms past lemma	حمل	T1	0.333	10.979	media	high_frequency + dispersion	أحمل; الحمل; بحمل; تحمل; تحمله ...	
116	وَصَف	waSaf	Describe	verb	verb: 3ms past lemma		T1	0.333	10.965	media	high_frequency + dispersion	آصف; اصف; الوصف; بوصف; بوصفه ...	
117	سَنَة	sanap	A year.	noun	noun: singular lemma		T1	0.333	10.958	media	high_frequency + dispersion	السنة; السنتين; السنن; السنه; السنوات ...	
118	حَصَل	HaSal	Got it.	verb	verb: 3ms past lemma	حصل	T1	0.333	10.957	media	high_frequency + dispersion	تحصل; حصل; حصلت; حصلنا; حصلوا ...	
119	ٱِسْتَطاع	{isotaTAE	You can.	verb	verb: 3ms past lemma		T1	0.333	10.956	media	high_frequency + dispersion	أستطيع; استطاع; استطاعت; استطاعوا; استطعت ...	
120	ٱِنْتِخاب	{inotixAb	Election	noun	noun: singular lemma	نخب	T1	0.333	10.945	media	high_frequency + dispersion	إنتخاب; إنتخابات; الإنتخابات; الانتخاب; الانتخابات ...	
121	شَرِكَة	$arikap	A trap.	noun	noun: singular lemma	شرك	T1	0.333	10.934	media	high_frequency + dispersion	الشركات; الشركة; الشركتان; الشركتين; الشركه ...	
122	جَعَل	jaEal	Made	verb	verb: 3ms past lemma	جعل	T1	0.333	10.929	media	high_frequency + dispersion	اجعل; بجعل; تجعل; تجعلنا; تجعله ...	
123	تَحَدَّث	taHad~av	Talk.	verb	verb: 3ms past lemma	حدث	T1	0.333	10.92	media	high_frequency + dispersion	أتحدث; اتحدث; التحدث; تتحدث; تحدث ...	
124	عَلاقَة	EalAqap	Relationship.	noun	noun: singular lemma	علق	T1	0.333	10.915	media	high_frequency + dispersion	العلاقات; العلاقة; بالعلاقات; بالعلاقة; بعلاقات ...	
125	شَأْن	$a>on	Something.	noun	noun: singular lemma		T1	0.333	10.893	media	high_frequency + dispersion	الشأن; الشؤون; الشئون; الشان; بالشأن ...	
126	كَشَف	ka$af	Discover	verb	verb: 3ms past lemma	كشف	T1	0.333	10.889	media	high_frequency + dispersion	الكشف; بالكشف; بكشف; تكشف; ستكشف ...	
127	ٱِعْتَقَد	{iEotaqad	Think.	verb	verb: 3ms past lemma	عقد	T1	0.333	10.884	media	high_frequency + dispersion	أعتقد; اعتقد; اعتقدت; اعتقدوا; تعتقد ...	
128	رُوسِيا	ruwsiyA	Rosia.	noun_prop	noun: singular lemma		T1	0.333	10.88	media	high_frequency + dispersion	بروسيا; روسيا; لروسيا; وروسيا	
129	تَعَرَّض	taEar~aD	She's been exposed.	verb	verb: 3ms past lemma	عرض	T1	0.333	10.876	media	high_frequency + dispersion	التعرض; تتعرض; تعرض; تعرضا; تعرضت ...	
130	سِياسِيّ	siyAsiy~	Politician.	adj	adj: masc singular lemma		T1	0.333	10.875	media	high_frequency + dispersion	الساسة; السياسى; السياسي; السياسية; السياسيون ...	
131	سَعَى	saEaY	Go ahead.	verb	verb: 3ms past lemma		T1	0.333	10.875	media	high_frequency + dispersion	السعي; بالسعي; تسعى; تسعين; ستسعى ...	
132	مَسْؤُول	maso&uwl	Charged.	noun	noun: singular lemma		T1	0.333	10.872	media	high_frequency + dispersion	المسؤول; المسؤولان; المسؤولة; المسؤولون; المسؤولين ...	
133	حَرْب	Harob	War.	noun	noun: singular lemma	حرب	T1	0.333	10.864	media	high_frequency + dispersion	الحرب; الحربين; الحروب; بالحرب; بالحروب ...	
134	كَثِير	kaviyr	A lot.	noun	noun: singular lemma	كثر	T1	0.333	10.862	media	high_frequency + dispersion	الكثير; الكثيرة; الكثيرون; الكثيرين; بالكثير ...	
135	نِظام	niZAm	System	noun	noun: singular lemma	نظم	T1	0.333	10.858	media	high_frequency + dispersion	أنظمة; أنظمتها; الأنظمة; الانظمة; النظام ...	
136	شَهْر	$ahor	A month.	noun	noun: singular lemma	شهر	T1	0.333	10.843	media	high_frequency + dispersion	أشهر; اشهر; الأشهر; الاشهر; الشهر ...	
137	جانِب	jAnib	Side	noun	noun: singular lemma	جنب	T1	0.333	10.843	media	high_frequency + dispersion	الجانب; الجانبان; الجانبين; الجوانب; بالجانب ...	
138	نائِب	nA}ib	Vice.	noun	noun: singular lemma		T1	0.333	10.84	media	high_frequency + dispersion	النائب; النائبان; النائبة; النائبين; النواب ...	
139	قَضِيَّة	qaDiy~ap	Case	noun	noun: singular lemma		T1	0.333	10.835	media	high_frequency + dispersion	القضايا; القضية; بالقضايا; بالقضية; بقضايا ...	
140	مَصْدَر	maSodar	Source	noun	noun: singular lemma	صدر	T1	0.333	10.817	media	high_frequency + dispersion	المصادر; المصدر; المصدرة; المصدرين; بمصادرة ...	
141	صَحِيفَة	SaHiyfap	In fact; I'm not sure.	noun	noun: singular lemma	صحف	T1	0.333	10.817	media	high_frequency + dispersion	الصحف; الصحيفة; بصحيفة; صحف; صحفى ...	
142	إِيران	<iyrAn	Iran.	noun_prop	noun: singular lemma		T1	0.333	10.816	media	high_frequency + dispersion	أيران; إيران; ايران; بإيران; بايران ...	
143	قَرار	qarAr	Decision	noun	noun: singular lemma	قرر	T1	0.333	10.808	media	high_frequency + dispersion	القرار; القرارات; القرارين; بالقرار; بالقرارات ...	
144	لَدَى	ladaY	I have...	noun	noun: singular lemma		T1	0.333	10.805	media	high_frequency + dispersion	فلدى; لدى; لدي; لديك; لديكم ...	
145	دُون	duwn	Dawn.	noun	noun: singular lemma		T1	0.333	10.802	media	high_frequency + dispersion	بدون; بدونها; دون; دونه; دونها ...	
146	حَرَكَة	Harakap	It's a move.	noun	noun: singular lemma	حرك	T1	0.333	10.796	media	high_frequency + dispersion	الحركات; الحركة; الحركتين; بالحركة; بحركات ...	
147	جَيْش	jayo$	Jesh!	noun	noun: singular lemma		T1	0.333	10.788	media	high_frequency + dispersion	الجيش; الجيوش; بالجيش; بجيش; جيش ...	
148	سُلْطَة	suloTap	Power.	noun	noun: singular lemma	سلط	T1	0.333	10.787	media	high_frequency + dispersion	السلطات; السلطة; السلطتين; بالسلطات; بالسلطة ...	
149	بَقِي	baqiy	Stay.	verb	verb: 3ms past lemma		T1	0.333	10.786	media	high_frequency + dispersion	أبقى; بقوا; بقى; بقي; بقيت ...	
150	عِراقِيّ	EirAqiy~	Ivory.	adj	adj: masc singular lemma	عرق	T1	0.333	10.786	media	high_frequency + dispersion	العراقى; العراقي; العراقيات; العراقية; العراقيه ...	
151	ٱِسْم	{isom	Name	noun	noun: singular lemma		T1	0.333	10.783	media	high_frequency + dispersion	أسم; أسماء; أسماؤهم; أسمائهم; أسمها ...	
152	جَمِيع	jamiyE	Everybody.	noun	noun: singular lemma	جمع	T1	0.333	10.776	media	high_frequency + dispersion	الجميع; بالجميع; بجميع; جميع; جميعا ...	
153	عَنَى	EanaY	About me.	verb	verb: 3ms past lemma		T1	0.333	10.769	media	high_frequency + dispersion	أعني; تعني; تعنيه; سيعني; عنوة ...	
154	أَيْض	>ayoD	Also...	noun	noun: singular lemma		T1	0.333	10.766	media	high_frequency + dispersion	أيضا; أيضاً; أيضًا; ايضا; ايضاً ...	
155	وِزارَة	wizArap	Minister	noun	noun: singular lemma		T1	0.333	10.762	media	high_frequency + dispersion	الوزارات; الوزارة; بالوزارة; بوزارة; للوزارة ...	
156	فِلَسْطِينِيّ	filasoTiyniy~	Felicity.	adj	adj: masc singular lemma		T1	0.333	10.759	media	high_frequency + dispersion	الفلسطينى; الفلسطيني; الفلسطينية; الفلسطينيتين; الفلسطينيون ...	
157	جَدِيد	jadiyd	New.	adj	adj: masc singular lemma	جدد	T1	0.333	10.753	media	high_frequency + dispersion	الجدد; الجديد; الجديدة; بجديد; جديد ...	
158	تُجاهَ	tujAha	Headed.	prep	particle/base	تجه	T1	0.333	10.747	media	high_frequency + dispersion	تجاه; تجاهه; تجاهها; وتجاه	
159	هَدَف	hadaf	Target	noun	noun: singular lemma	هدف	T1	0.333	10.745	media	high_frequency + dispersion	أهداف; أهدافا; أهدافه; أهدافها; أهدافهم ...	
160	حَدّ	Had~	Determinate.	noun	noun: singular lemma	حدد	T1	0.333	10.741	media	high_frequency + dispersion	الحد; الحدود; الحدّ; بالحد; بالحدود ...	
161	راوَنْد	rAwanod	Rawnd	verb	verb: 3ms past lemma		T1	0.333	10.738	media	high_frequency + dispersion	أر; أراك; أراه; أراها; تر ...	
162	مُتَّحِد	mut~aHid	Uniting.	adj	adj: masc singular lemma		T1	0.333	10.736	media	high_frequency + dispersion	المتحد; المتحدة; المتحده; المتّحدة; متحدة	
163	شَعْب	$aEob	A people.	noun	noun: singular lemma	شعب	T1	0.333	10.734	media	high_frequency + dispersion	الشعب; الشعبين; الشعوب; بالشعب; شعب ...	
164	أَمام	>amAm	In front of...	noun	noun: singular lemma		T1	0.333	10.727	media	high_frequency + dispersion	أئمة; أمام; أمامك; أمامنا; أمامه ...	
