lemma,variant,reason
مِن,منه,same lemma
أَكْثَر,اكثر,same lemma
جَدِيد,الجديدة,same lemma
إِذا,اذا,same lemma
شَهْر,الشهر,same lemma
جَدِيد,جديد,same lemma
هٰذا,هؤلاء,same lemma
وَضْع,وضع,same lemma
خاصّ,الخاصة,same lemma
مُؤْتَمَر,المؤتمر,same lemma
أَنَّ,بان,same lemma
أَمْرِيكِيّ,الأميركي,same lemma
مَصْدَر,مصدر,same lemma
أَمْرِيكِيّ,الاميركية,same lemma
لَيِس,ليست,same lemma
أَحَد,احد,same lemma
عَمَلِيَّة,عمليات,same lemma
حَرْب,حرب,same lemma
قَرار,القرار,same lemma
إِسْرائِيلِيّ,الإسرائيلية,same lemma
لُبْنانِيّ,اللبنانية,same lemma
مِن,منهم,same lemma
فِلَسْطِينِيّ,الفلسطينيين,same lemma
أَنَّ,بأنه,same lemma
كان,يكن,same lemma
أَوَّل,أول,same lemma
عام,عاما,same lemma
ذٰلِكَ,وكذلك,same lemma
قال,قالت,same lemma
ما,لما,same lemma
عَمَلِيَّة,العملية,same lemma
نِظام,نظام,same lemma
لَجْنَة,لجنة,same lemma
عَن,عنه,same lemma
أَمْن,الامن,same lemma
حَدّ,حد,same lemma
مَدِينَة,المدينة,same lemma
عَسْكَرِيّ,العسكري,same lemma
كان,كانوا,same lemma
نائِب,النواب,same lemma
سُورِيا,سورية,same lemma
صَحِيفَة,الصحيفة,same lemma
فَتْرَة,الفترة,same lemma
أَكَّد,أكد,same lemma
ثانِي,الثانية,same lemma
حالِيّ,حاليا,same lemma
أَيْض,ايضا,same lemma
سَنَة,سنة,same lemma
هٰذا,لهذا,same lemma
كُلّ,لكل,same lemma
كان,سيكون,same lemma
سِياسِيّ,سياسية,same lemma
أَجْل,اجل,same lemma
سَعُودِيّ,السعودي,same lemma
سُورِيّ,السورية,same lemma
بُعْد,وبعد,same lemma
هٰذا,بهذا,same lemma
شَرِكَة,الشركة,same lemma
بَلَد,البلدين,same lemma
نائِب,النائب,same lemma
مِصْرِيّ,المصرية,same lemma
واحِد,واحدة,same lemma
جانِب,الجانب,same lemma
عِراقِيّ,العراقيين,same lemma
كُلّ,بكل,same lemma
إِسْرائِيلِيّ,الاسرائيلي,same lemma
أَمْس,امس,same lemma
قُوَّة,قوة,same lemma
بَيِّن,وبين,same lemma
أُخْرَى,الأخرى,same lemma
الَّذِي,التى,same lemma
قَضِيَّة,القضية,same lemma
قال,ويقول,same lemma
ٱِتِّفاق,الاتفاق,same lemma
عَسْكَرِيّ,عسكرية,same lemma
نَوَوِيّ,النووية,same lemma
حَقّ,حق,same lemma
نَفْس,نفس,same lemma
بَلَد,بلاده,same lemma
ماضِي,الماضية,same lemma
ٱِنْتِخاب,انتخابات,same lemma
أَنَّ,وإن,same lemma
مِنْطَقَة,المناطق,same lemma
عَن,عنها,same lemma
أُخْرَى,اخرى,same lemma
لِ,لنا,same lemma
إِلَى,إليه,same lemma
بَلَد,البلد,same lemma
حَرَكَة,الحركة,same lemma
أَمْرِيكِيّ,الاميركي,same lemma
نَفْس,نفسها,same lemma
سَنَة,السنة,same lemma
مَع,ومع,same lemma
أَمام,امام,same lemma
قِطاع,القطاع,same lemma
هُوَ,فهو,same lemma
قام,يقوم,same lemma
لٰكِنَّ,لكنه,same lemma
بَيِّن,بينهم,same lemma
أَعْلَن,اعلن,same lemma
ذٰلِكَ,كذلك,same lemma
نِسْبَة,نسبة,same lemma
قَضِيَّة,القضايا,same lemma
بَيان,البيان,same lemma
فَرِيق,فريق,same lemma
نَتِيجَة,نتائج,same lemma
هٰذا,لهذه,same lemma
أَنَّ,فان,same lemma
يَوْم,أيام,same lemma
مِنْطَقَة,مناطق,same lemma
إِسْلامِيّ,الإسلامي,same lemma
قام,قامت,same lemma
وَزِير,وزراء,same lemma
قُوَّة,القوى,same lemma
مَسْؤُول,المسؤولين,same lemma
أَنَّ,إنها,same lemma
أَعْلَن,أعلنت,same lemma
إِدارَة,الإدارة,same lemma
مَع,معه,same lemma
ٱِجْتِماع,الاجتماع,same lemma
قانُون,قانون,same lemma
مَشْرُوع,المشروع,same lemma
بَدَأ,يبدو,same lemma
ٱِقْتِصادِيّ,الاقتصادي,same lemma
شَرِكَة,الشركات,same lemma
عَمَل,أعمال,same lemma
جَمِيع,الجميع,same lemma
قُوَّة,القوة,same lemma
حَتَّى,وحتى,same lemma
إِسْرائِيلِيّ,الاسرائيلية,same lemma
قِمَّة,قمة,same lemma
عالَمِيّ,العالمي,same lemma
أَيْض,أيضاً,same lemma
ذَكَر,وذكر,same lemma
طَرِيق,الطريق,same lemma
فَرَنْسِيّ,الفرنسية,same lemma
عَلَى,عليهم,same lemma
هُم,وهم,same lemma
دِيمُوقراطِيّ,الديمقراطية,same lemma
سابِق,سابق,same lemma
مُنَظَّمَة,المنظمة,same lemma
لِقاء,لقاء,same lemma
ذٰلِكَ,لذلك,same lemma
ذٰلِكَ,بذلك,same lemma
نِسْبَة,بنسبة,same lemma
أَمْر,أمر,same lemma
عَشَرَة,عشرة,same lemma
سابِق,السابقة,same lemma
أَمْرِيكِيّ,الامريكية,same lemma
تَقْرِير,تقرير,same lemma
هٰذا,بهذه,same lemma
لِ,لي,same lemma
أَنَّ,لأنه,same lemma
رَغْم,الرغم,same lemma
أَنَّ,بأنها,same lemma
مُقْبِل,المقبلة,same lemma
قائِد,قادة,same lemma
قال,تقول,same lemma
حالِيّ,الحالية,same lemma
إِيرانِيّ,الإيرانية,same lemma
عَلاقَة,علاقة,same lemma
مَرْكَز,المركز,same lemma
شَرْق,شرق,same lemma
وَزِير,الوزير,same lemma
بَدَأ,بدأ,same lemma
سِياسَة,سياسة,same lemma
شَخْص,شخصا,same lemma
تَصْرِيح,تصريح,same lemma
لا,فلا,same lemma
مَصْدَر,المصدر,same lemma
كَبِير,الكبير,same lemma
أَحَد,الاحد,same lemma
ثَلاث,ثلاث,same lemma
حَدِيث,حديث,same lemma
مَعْلُومَة,معلومات,same lemma
عَدَم,وعدم,same lemma
دُون,بدون,same lemma
بِ,ب,same lemma
ذَكَر,ذكر,same lemma
عَرَبِيّ,عربية,same lemma
خاصّ,الخاص,same lemma
أَلْف,آلاف,same lemma
أَكَّد,واكد,same lemma
هٰذا,وهذه,same lemma
آخَر,الآخر,same lemma
كان,ستكون,same lemma
جامِعَة,الجامعة,same lemma
وِكالَة,الوكالة,same lemma
تارِيخ,تاريخ,same lemma
رَجُل,الرجل,same lemma
هِيَ,فهي,same lemma
سَنَة,السنوات,same lemma
رَجُل,رجل,same lemma
أَنَّ,أنهم,same lemma
أَوْضَح,واوضح,same lemma
مَوْضُوع,موضوع,same lemma
وِلايَة,ولاية,same lemma
أَمّا,اما,same lemma
وَزِير,وزيرة,same lemma
لَو,ولو,same lemma
أَلْف,الف,same lemma
حَسَب,بحسب,same lemma
عَمَل,تعمل,same lemma
حُكْم,حكم,same lemma
أَمْر,الامر,same lemma
عَمَل,الأعمال,same lemma
أُولَى,الاولى,same lemma
دَوْر,الدور,same lemma
بُعْد,بعدما,same lemma
قِيادَة,قيادة,same lemma
قَضِيَّة,قضايا,same lemma
أَوَّل,الاول,same lemma
أَنَّ,الان,same lemma
بَرْنامَج,البرنامج,same lemma
عَلَى,علينا,same lemma
أَحَد,إحدى,same lemma
إِذا,وإذا,same lemma
مَجال,المجال,same lemma
كان,كنت,same lemma
كان,تكن,same lemma
مَع,معها,same lemma
أَرْض,الأراضي,same lemma
نَقْل,ونقلت,same lemma
بَلَد,البلدان,same lemma
صَحِيفَة,صحفي,same lemma
أَمْنِيّ,الامنية,same lemma
أُورُبِّيّ,الأوروبية,same lemma
مُخْتَلِف,مختلفة,same lemma
سَلام,سلام,same lemma
صَحِيفَة,الصحف,same lemma
رَئِيس,ورئيس,same lemma
كُلّ,وكل,same lemma
جاء,وجاء,same lemma
إِيرانِيّ,الايراني,same lemma
أَنَّ,لان,same lemma
مَرْحَلَة,مرحلة,same lemma
أَلْمانِيّ,الألماني,same lemma
وِكالَة,لوكالة,same lemma
برِيطانِيّ,البريطاني,same lemma
أُمَّة,الامم,same lemma
كَثِير,كثيرة,same lemma
تَحْقِيق,التحقيق,same lemma
إِلَى,إليها,same lemma
مَسْؤُول,المسؤول,same lemma
أَكَّد,اكد,same lemma
عاد,تعد,same lemma
ٱِعْتَبَر,تعتبر,same lemma
عَمَلِيَّة,العمليات,same lemma
عَلاقَة,علاقات,same lemma
مِلْيُون,ملايين,same lemma
مَوْقِف,الموقف,same lemma
وِزارَة,الوزارة,same lemma
بَيِّن,بينها,same lemma
لٰكِنَّ,لكنها,same lemma
عُضْو,عضو,same lemma
إِلّا,ألا,same lemma
مَصْدَر,المصادر,same lemma
هُناكَ,وهناك,same lemma
مُشْكِلَة,المشكلة,same lemma
إِطْلاق,اطلاق,same lemma
كَي,لكي,same lemma
صُورَة,صورة,same lemma
رِئاسَة,رئاسة,same lemma
أَمْر,الأمور,same lemma
هَدَف,الهدف,same lemma
مَجْمُوعَة,المجموعة,same lemma
خِلالَ,خلالها,same lemma
أَرْبِعاء,الأربعاء,same lemma
إِسْلامِيّ,الاسلامية,same lemma
مُسْتَوَى,المستوى,same lemma
جَرَى,جرى,same lemma
حَدَث,يحدث,same lemma
أَمْرِيكِيّ,الامريكي,same lemma
تُرْكِيّ,التركية,same lemma
مَحْكَمَة,محكمة,same lemma
أَخِير,الاخيرة,same lemma
سِياسِيّ,سياسي,same lemma
غَيْر,وغير,same lemma
غَيْر,وغيرها,same lemma
هَيْئَة,الهيئة,same lemma
إِضافَة,بالإضافة,same lemma
أَراد,تريد,same lemma
نَحْنُ,ونحن,same lemma
عَن,وعن,same lemma
أَشار,واشار,same lemma
لَن,ولن,same lemma
أَخِير,الأخير,same lemma
مُؤَسَّسَة,مؤسسة,same lemma
ٱِسْم,اسم,same lemma
قَوْل,القول,same lemma
مُحافَظَة,المحافظة,same lemma
وَحْدَة,الوحدة,same lemma
أُسْبُوع,الاسبوع,same lemma
قِيام,القيام,same lemma
أُورُبِّيّ,الاوروبي,same lemma
فِي,ففي,same lemma
شَرِكَة,شركات,same lemma
إِنْسان,الانسان,same lemma
قُوَّة,قوى,same lemma
كَثِير,كثير,same lemma
ذَكَر,وذكرت,same lemma
يَوْم,الأيام,same lemma
دَعْم,الدعم,same lemma
كَبِير,كبار,same lemma
رَسْمِيّ,الرسمي,same lemma
مُحادَثَة,المحادثات,same lemma
أَكْبَر,اكبر,same lemma
أَعْلَن,اعلنت,same lemma
أَزْمَة,أزمة,same lemma
عَمَل,يعمل,same lemma
تَمّ,وتم,same lemma
حَياة,حياة,same lemma
قاعِدَة,قاعدة,same lemma
الَّذِي,الذى,same lemma
ٱِتِّفاقِيَّة,اتفاقية,same lemma
قال,وتقول,same lemma
رُبَّما,وربما,same lemma
سُوق,سوق,same lemma
حَدّ,حدود,same lemma
سِلاح,الأسلحة,same lemma
رَئِيس,للرئيس,same lemma
أَحَد,الأحد,same lemma
مُواطِن,المواطن,same lemma
زِيارَة,الزيارة,same lemma
عَلاقَة,العلاقة,same lemma
أَصْبَح,أصبحت,same lemma
وَقَع,وقعت,same lemma
شَكْل,شكل,same lemma
هُجُوم,هجوم,same lemma
ذَكَر,ذكرت,same lemma
إِيرانِيّ,الايرانية,same lemma
زال,يزال,same lemma
جَيْش,جيش,same lemma
جَرَى,جرت,same lemma
ٱِنْتِخاب,انتخاب,same lemma
مِئَة,المئة,same lemma
قادِم,القادمة,same lemma
حَقّ,بحق,same lemma
شَكْل,يشكل,same lemma
شَهْر,أشهر,same lemma
أَبُو,ابو,same lemma
مُفاوَضَة,مفاوضات,same lemma
شَكْل,تشكل,same lemma
مِثْل,يمثل,same lemma
عاد,يعود,same lemma
جاء,جاءت,same lemma
أَنَّ,لأنها,same lemma
وَصَل,يصل,same lemma
أَنَّ,أنّ,same lemma
تَمّ,سيتم,same lemma
خارِجِيّ,خارجية,same lemma
آخَر,آخرين,same lemma
إِلَى,الي,same lemma
خاصّ,خاص,same lemma
إِعْلام,الاعلام,same lemma
سَيّارَة,السيارات,same lemma
أَنَّ,انهم,same lemma
تَحْقِيق,لتحقيق,same lemma
لَدَى,لدينا,same lemma
عَسْكَرِيّ,عسكري,same lemma
سَبَب,سبب,same lemma
مُشْتَرَك,المشترك,same lemma
مُهِمّ,مهما,same lemma
اللَّه,والله,same lemma
حَقِيقَة,حقيقة,same lemma
أَدَّى,أدى,same lemma
جِهَة,الجهات,same lemma
إِضافَة,اضافة,same lemma
بَلَد,بلد,same lemma
تابِع,وتابع,same lemma
مُؤَسَّسَة,المؤسسة,same lemma
حَيْثُ,بحيث,same lemma
وَصَل,تصل,same lemma
أَقَلّ,الأقل,same lemma
ذات,ذاته,same lemma
وِلايَة,والولايات,same lemma
فِلَسْطِينِيّ,فلسطينية,same lemma
دَعا,ودعا,same lemma
وَصَل,وصلت,same lemma
جَهْد,جهود,same lemma
لٰكِنَّ,ولكنه,same lemma
كَبِير,كبيرا,same lemma
غَرْب,غرب,same lemma
جانِب,جانبه,same lemma
عَوْدَة,عودة,same lemma
شَأْن,الشؤون,same lemma
وَرَى,ترى,same lemma
مَوْقِع,الموقع,same lemma
عَمَل,اعمال,same lemma
حَقّ,الحق,same lemma
صالِح,لصالح,same lemma
كَثِير,كثيرا,same lemma
أَزْمَة,الازمة,same lemma
أُمَّة,الأمة,same lemma
رَغْم,ورغم,same lemma
خَمْس,خمس,same lemma
أَوْسَط,الاوسط,same lemma
وِفْقَ,وفقا,same lemma
قَتَل,قتلوا,same lemma
لِ,لك,same lemma
جُنْدِيّ,جندي,same lemma
خارِج,الخارج,same lemma
بِ,بهم,same lemma
قائِم,القائمة,same lemma
حِوار,حوار,same lemma
دَوْلِيّ,دولية,same lemma
مِئَة,مئات,same lemma
طَرَف,الأطراف,same lemma
عَدَم,بعدم,same lemma
صَدْر,صدر,same lemma
رَسْمِيّ,رسمية,same lemma
لُبْنانِيّ,اللبنانيين,same lemma
مَدِينَة,المدن,same lemma
كَبِير,الكبيرة,same lemma
شُرْطَة,شرطة,same lemma
إِلَى,اليه,same lemma
هُم,فهم,same lemma
وَرَى,ويرى,same lemma
حَمْلَة,الحملة,same lemma
ساعَة,ساعة,same lemma
بَحْث,بحث,same lemma
قال,فقال,same lemma
جانِب,الجانبين,same lemma
زِيارَة,زيارته,same lemma
أَوَّل,اول,same lemma
ٱِعْتَبَر,واعتبر,same lemma
جُمْهُورِيّ,الجمهوري,same lemma
قائِد,القادة,same lemma
أَمْن,أمن,same lemma
عَن,عما,same lemma
مَدَنِيّ,المدني,same lemma
رَئِيس,لرئيس,same lemma
حُكُومَة,للحكومة,same lemma
دَعْوَة,دعوة,same lemma
جُنْدِيّ,جنود,same lemma
أَحْمَد,احمد,same lemma
إِطار,اطار,same lemma
ساكِن,السكان,same lemma
دِراسَة,الدراسة,same lemma
ثَلاث,الثلاثة,same lemma
إِعادَة,اعادة,same lemma
مِثْل,تمثل,same lemma
أَمْرِيكا,أميركا,same lemma
أَنَّ,أننا,same lemma
عالَم,عالم,same lemma
إِلَى,إلي,same lemma
تَغْيِير,التغيير,same lemma
آخَر,اخر,same lemma
لَدَى,لديها,same lemma
جُمْهُورِيّ,جمهورية,same lemma
كِتاب,كتاب,same lemma
مُشْتَرَك,مشتركة,same lemma
حِزْب,الأحزاب,same lemma
حَلّ,الحل,same lemma
إِدارَة,ادارة,same lemma
مَكْتَب,المكتب,same lemma
سَبَب,السبب,same lemma
صارُوخ,صواريخ,same lemma
أَفْغانِسْتان,افغانستان,same lemma
سِعْر,سعر,same lemma
أَتَى,تأتي,same lemma
سِلاح,سلاح,same lemma
يَوْم,ايام,same lemma
طائِرَة,الطائرة,same lemma
عُمَر,العمر,same lemma
أَنَّ,فإنه,same lemma
جِهاز,أجهزة,same lemma
شَأْن,الشأن,same lemma
أَشار,تشير,same lemma
إِرْهاب,الارهاب,same lemma
نَتِيجَة,النتائج,same lemma
ساعَة,ساعات,same lemma
حَمَل,يحمل,same lemma
إِسْلامِيّ,الاسلامي,same lemma
مِئَة,المائة,same lemma
ٱِسْتَطاع,تستطيع,same lemma
هَجْمَة,الهجمات,same lemma
إِقْلِيم,اقليم,same lemma
قَدَّم,القدم,same lemma
عَدَد,عددا,same lemma
طائِرَة,الطائرات,same lemma
حال,الحال,same lemma
عِنْد,وعندما,same lemma
بَلَغ,يبلغ,same lemma
اولمرت,أولمرت,same lemma
ثانِي,ثانية,same lemma
وَضْع,الأوضاع,same lemma
بَيْت,بيت,same lemma
زَعِيم,الزعيم,same lemma
مُخْتَلِف,المختلفة,same lemma
بَلَد,بلدان,same lemma
بِ,بـ,same lemma
مِن,فمن,same lemma
خِدْمَة,خدمة,same lemma
عِلْم,علم,same lemma
مُشارَكَة,مشاركة,same lemma
مِن,ممن,same lemma
حاجَة,حاجة,same lemma
هَدَف,هدف,same lemma
مَصْلَحَة,مصالح,same lemma
تَعَلَّق,تتعلق,same lemma
رَئِيس,رئيسا,same lemma
مُسَلَّح,المسلحين,same lemma
مَرَّة,المرة,same lemma
هَل,وهل,same lemma
رَئِيسِيّ,الرئيسي,same lemma
أَمْنِيّ,الأمني,same lemma
أَضاف,وأضافت,same lemma
أَكَّد,يؤكد,same lemma
ما,فما,same lemma
مَحَلِّيّ,المحلي,same lemma
داخِلِيّ,الداخلي,same lemma
حُرِّيَّة,الحرية,same lemma
مَوْقِع,مواقع,same lemma
بَيِّن,بينهما,same lemma
بَلَغ,بلغت,same lemma
وَطَنِيّ,وطنية,same lemma
ثالِث,الثالثة,same lemma
مَشْرُوع,المشاريع,same lemma
طاقَة,للطاقة,same lemma
مُواجَهَة,لمواجهة,same lemma
عَرَبِيّ,عربي,same lemma
أَمْنِيّ,أمنية,same lemma
وَجَد,توجد,same lemma
أَرْبَع,اربعة,same lemma
مُشْكِلَة,المشاكل,same lemma
ٱِجْتِماعِيّ,الاجتماعي,same lemma
أَنا,وأنا,same lemma
خَطْوَة,الخطوة,same lemma
وَفْد,وفد,same lemma
رِئاسَة,برئاسة,same lemma
مِن,لمن,same lemma
مَسْؤُول,مسؤولون,same lemma
آخَر,الآخرين,same lemma
سُؤال,السؤال,same lemma
جَرَى,تجري,same lemma
ذٰلِكَ,ولذلك,same lemma
ٱِعْتَبَر,اعتبر,same lemma
قُوَّة,للقوات,same lemma
تَقْرِير,تقارير,same lemma
عُضْو,اعضاء,same lemma
طائِرَة,طائرات,same lemma
لَدَى,لديه,same lemma
أَشار,أشار,same lemma
أَيّ,بأي,same lemma
حَلّ,لحل,same lemma
جَنُوب,الجنوب,same lemma
مادَّة,المادة,same lemma
صاحِب,أصحاب,same lemma
مُؤَسَّسَة,مؤسسات,same lemma
باكِستانِيّ,الباكستاني,same lemma
رُوسِيّ,الروس,same lemma
يَوْم,يوما,same lemma
إِجْراء,الإجراءات,same lemma
زِيارَة,بزيارة,same lemma
أَكَّد,أكدت,same lemma
أَيّ,لأي,same lemma
حَصَل,يحصل,same lemma
ٱِثْنَيْنِ,اثنين,same lemma
تَمّ,تمت,same lemma
بَقِي,يبقى,same lemma
مَسْأَلَة,المسألة,same lemma
إِجْراء,إجراءات,same lemma
لٰكِنَّ,ولكنها,same lemma
ثَقافَة,ثقافة,same lemma
إِسْلام,الاسلام,same lemma
كان,كنا,same lemma
شَعْب,الشعوب,same lemma
تابِع,تابعة,same lemma
مَصْلَحَة,المصالح,same lemma
واضِح,واضح,same lemma
مَشْرُوع,مشاريع,same lemma
أَعْلَى,الأعلى,same lemma
تَدَخُّل,التدخل,same lemma
نَوْع,النوع,same lemma
حِزْب,لحزب,same lemma
خُطَّة,الخطة,same lemma
سِياسِيّ,السياسيين,same lemma
جِهاز,الأجهزة,same lemma
نَوَوِيّ,نووية,same lemma
مِن,ومنها,same lemma
عاد,تعود,same lemma
عَضّ,بعضهم,same lemma
وُصُول,وصول,same lemma
إِدارَة,الادارة,same lemma
شَأْن,شأن,same lemma
حالَة,الحالة,same lemma
دُخُول,الدخول,same lemma
مُسْتَقْبَل,مستقبل,same lemma
أَنَّ,اننا,same lemma
هَدَف,تهدف,same lemma
فِعْل,بالفعل,same lemma
نُقْطَة,نقاط,same lemma
مَجْلِس,لمجلس,same lemma
شَأْن,شؤون,same lemma
قَدَّم,يقدم,same lemma
قَرار,قرارات,same lemma
جَبْهَة,جبهة,same lemma
أَكْثَر,الأكثر,same lemma
كُلّ,كلها,same lemma
أَكَّد,تؤكد,same lemma
طَرَف,طرف,same lemma
شَخْص,أشخاص,same lemma
صُورَة,الصورة,same lemma
كُلّ,كله,same lemma
مَع,معهم,same lemma
واحِد,الواحد,same lemma
مالِيّ,المالي,same lemma
أَرْض,أرض,same lemma
جَلْسَة,الجلسة,same lemma
تَحَدَّث,يتحدث,same lemma
أَعْلَى,أعلى,same lemma
جِدّ,جداً,same lemma
هٰذا,فهذا,same lemma
ٱِحْتاج,تحتاج,same lemma
أُمَّة,للأمم,same lemma
طَرِيقَة,طريقة,same lemma
تَقَدَّم,التقدم,same lemma
مُساعَدَة,المساعدات,same lemma
ٱِنْفِجار,الانفجار,same lemma
مَرْكَز,مراكز,same lemma
حَدَث,الأحداث,same lemma
بَرْنامَج,برامج,same lemma
مَجال,المجالات,same lemma
مُنَظَّمَة,المنظمات,same lemma
هَل,فهل,same lemma
عالَم,العلماء,same lemma
أَنا,انا,same lemma
وِلايَة,للولايات,same lemma
حالَة,حالات,same lemma
سِلاح,أسلحة,same lemma
عام,عامة,same lemma
كُبْرِي,كبرى,same lemma
رَجُل,الرجال,same lemma
فُرْصَة,فرص,same lemma
حَرَكَة,لحركة,same lemma
بَنْك,البنوك,same lemma
أَنَّ,وأنه,same lemma
مُشْكِلَة,مشاكل,same lemma
جَعَل,يجعل,same lemma
ٱِسْم,اسمه,same lemma
أَمْرِيكِيّ,الأميركيين,same lemma
حَدّ,الحد,same lemma
مُحافَظَة,المحافظات,same lemma
نَظَر,نظر,same lemma
زال,زالت,same lemma
مَسْؤُولِيَّة,المسؤولية,same lemma
عَدِيد,عديدة,same lemma
مُبادَرَة,مبادرة,same lemma
أَعْلَن,وأعلن,same lemma
نِهايَة,النهاية,same lemma
ثِنْي,اثناء,same lemma
فُرْصَة,الفرصة,same lemma
فِلَسْطِينِيّ,فلسطيني,same lemma
سَبَب,أسباب,same lemma
خُصُوص,خصوصاً,same lemma
عَرَف,تعرف,same lemma
أَرْض,الاراضي,same lemma
أَسَد,الاسد,same lemma
مَكان,المكان,same lemma
وَقَع,تقع,same lemma
طَوِيل,طوال,same lemma
أُخْرَى,الاخرى,same lemma
جَماعَة,الجماعة,same lemma
ٱِتِّحاد,والاتحاد,same lemma
مَرَّة,للمرة,same lemma
قِيادَة,بقيادة,same lemma
طَرِيق,الطرق,same lemma
عامِل,العاملين,same lemma
حَوْل,وحول,same lemma
حَصَل,حصلت,same lemma
دِينِيّ,الديني,same lemma
أَراد,نريد,same lemma
أَنَّ,إننا,same lemma
مِلْيار,مليارات,same lemma
خِلاف,الخلاف,same lemma
قَرَّر,قرر,same lemma
مَزِيد,مزيد,same lemma
إِذ,اذ,same lemma
مَدَنِيّ,المدنية,same lemma
بَدَأ,تبدأ,same lemma
مَدَى,المدى,same lemma
بِناء,البناء,same lemma
أَصْبَح,يصبح,same lemma
عَقْد,عقده,same lemma
رُوسِيا,وروسيا,same lemma
أَم,ام,same lemma
سُلْطَة,سلطة,same lemma
عَمَل,للعمل,same lemma
مالِيّ,مالية,same lemma
طَلَب,الطلب,same lemma
عُنْوان,بعنوان,same lemma
تَعَرَّض,تعرضت,same lemma
مُسَلَّح,مسلحين,same lemma
عُضْو,الأعضاء,same lemma
نَشْر,نشرت,same lemma
رَسْمِيّ,رسميا,same lemma
مَسْؤُول,مسؤولين,same lemma
إِجْراء,اجراء,same lemma
ظَرْف,ظروف,same lemma
عِراق,للعراق,same lemma
صُحُفِيّ,الصحفيين,same lemma
شَهِد,تشهد,same lemma
مُرَشَّح,المرشحين,same lemma
مَوْقِع,المواقع,same lemma
كَثِير,كثيراً,same lemma
جَماعَة,الجماعات,same lemma
شَيْخ,الشيوخ,same lemma
مَوْقِف,مواقف,same lemma
أَشار,يشار,same lemma
نَفْس,أنفسهم,same lemma
كَشَف,الكشف,same lemma
قَوْل,بالقول,same lemma
مُشْتَرَك,مشترك,same lemma
رَفَض,رفضت,same lemma
عَمَل,والعمل,same lemma
إِنَّما,إنما,same lemma
نادِي,نادي,same lemma
أَضاف,واضافت,same lemma
جَيْش,للجيش,same lemma
صُحُفِيّ,للصحفيين,same lemma
مُناسَبَة,بمناسبة,same lemma
عَقْد,عقود,same lemma
تَحْرِير,التحرير,same lemma
إِلَى,اليها,same lemma
واقِع,الواقعة,same lemma
قُوَّة,بقوة,same lemma
أَشار,وأشارت,same lemma
مَرْكَزِيّ,المركزي,same lemma
يَوْم,يومين,same lemma
قَدَّم,قدمت,same lemma
هَدَف,أهداف,same lemma
عَدَد,العدد,same lemma
أَحَد,احدى,same lemma
أَدَّى,تؤدي,same lemma
